ID,اسم المشروع,المجال,الوصف,الفئة المستهدفة
702,إسناد المقاول,قطاع الإنشاءات والمقاولات,تقع خلافات بين المقاولين والملاك بسبب تأخر توريد كميات الحديد والأسمنت للموقع نتيجة ضعف التنسيق مع المصانع. يقدم النظام حلاً يربط جدول الإنجاز الإنشائي الميداني بطلبات التوريد المؤتمتة مع المصانع مباشرة.,شركات المقاولات وموردو مواد البناء
703,بوابة النخبة,إدارة الفعاليات والمؤتمرات,"يواجه منظمو المؤتمرات الدولية صعوبة في التنسيق اللحظي والآمن لجدول تنقلات كبار الشخصيات (VIP) بين المطارات، الفنادق، والقاعات. تطبيق مشفر يربط السائقين بالوفود ويعتمد على الجدولة الديناميكية لتفادي الازدحام.",منظمو المؤتمرات الدولية والوفود
704,تفتيش الصوامع,الأمن الغذائي والزراعة,تعاني صوامع غلال الحبوب الضخمة من خطر فساد المخزون نتيجة تقلبات الرطوبة الداخلية أو انتشار الحشرات غير المرئية بالعين. يقدم المشروع روبوتات مسح ذكية تتغلغل داخل الحبوب مزودة بحساسات حرارية وغازية استباقية.,المؤسسة العامة للحبوب وإدارات الصوامع
705,منصة وتيرة,التقنية القانونية العقارية,تستغرق صياغة ومراجعة عقود التطوير العقاري المشتركة (بين ملاك الأراضي والمطورين) وقتاً طويلاً لضمان حفظ الحقوق وتوزيع النسب نظامياً. منصة تولد وتدقق العقود آلياً بالذكاء الاصطناعي وفق تشريعات الهيئة العامة للعقار.,المطورون العقاريون وملاك الأراضي
706,توجيه الأحمال,الطاقة المستدامة,"تواجه المنشآت التجارية الكبرى ارتفاعاً في فواتير الكهرباء نتيجة تجاوز ""الحمل الأقصى المستهدف"" في أوقات الذروة اليومية. نظام برمجيا يحلل الاستهلاك ويقوم بفصل أو تقليل إضاءة وتكييف المرافق غير الحيوية آلياً لمنع التجاوز.",المجمعات التجارية وإدارات التشغيل
707,توطين الصوت,التقنيات اللغوية والإعلام,"تواجه منصات الألعاب والرسوم المتحركة المحلية نقصاً في محركات توليد الأصوات والشخصيات الافتراضية بلهجات سعودية طبيعية ومتنوعة (نجدي، حجازي، جنوبي). نموذج ذكاء اصطناعي توليدي مخصص لتوليد الصوت البشري بدقة.","مطورو الألعاب، شركات الإنتاج، والمسوقون"
708,راصد الامتثال,البيئة والصناعة,تواجه المدن الصناعية صعوبة في الرصد اللحظي لالتزام المصانع بالحدود البيئية المسموحة للتخلص من النفايات السائلة في شبكات الصرف العام. منظومة مستشعرات كيميائية تزرع بنقاط الصرف ترسل إنذاراً فورياً عند رصد مواد سامة.,هيئات المدن الصناعية والرقابة البيئية
709,بصمة العسل,حماية المستهلك والأغذية,يواجه النحالون صعوبة في إثبات جودة ونقاء العسل البلدي الفاخر للمشترين عبر المتاجر الإلكترونية لانتشار المنتجات المغشوشة. عبوات ذكية مدمجة برمز استجابة (QR) مسجل بالبلوكشين يربط مباشرة بشهادة الفحص المخبري المعتمدة.,النحالون ومستهلكو المنتجات العضوية
710,عالمي التفاعلي,تكنولوجيا التعليم والدمج,يواجه الأطفال المصابون بفرط الحركة وتشتت الانتباه (ADHD) صعوبة في استيعاب الدروس عبر المناهج التقليدية الثابتة. منصة تعليمية تحول الدروس إلى ألعاب حركية تفاعلية تعتمد على مستشعرات الكاميرا لزيادة التركيز.,"الأطفال ذوو التشتت، المدارس، والأهالي"
711,فاحص التبريد,اللوجستيات الطبية الحساسة,تتلف عينات المختبرات الطبية الحساسة أثناء نقلها بين المراكز الصحية نتيجة تذبذب حرارة الحافظات دون علم الطاقم إلا بعد الفحص. حافظة طبية ذكية ترتبط بالبلوكشين تبث درجات الحرارة والاهتزازات لحظياً لغرفة العمليات.,"المختبرات الطبية، المستشفيات، وبنوك الدم"
712,إسناد الطوارئ,الأمن والسلامة المدنية,يواجه مسؤولو السلامة في الأبراج الشاهقة صعوبة في التأكد من إخلاء كافة الموظفين والزوار أثناء حرائق المباني لشدة الدخان. نظام يعتمد على تتبع الإشارات اللاسلكية للهواتف (WiFi/Bluetooth) لتحديد مواقع الأشخاص العالقين بدقة.,الدفاع المدني وفرق السلامة المهنية
713,أمان الرافعة,السلامة الصناعية,تقع حوادث انقلاب الرافعات البرجية في مواقع البناء نتيجة التغير المفاجئ في سرعة الرياح أو زيادة أحمال الرفع غير المحسوبة هندسياً. منظومة مستشعرات ذكية تحسب مركز الثقل وسرعة الرياح وتقفل حركة الرافعة آلياً عند الخطر.,شركات المقاولات ومسؤولو السلامة المهنية
